Treatment,NomincalNickel,DissolvedNi,FreeIon,Snail,Time,Day,Size,Weight,Reproduction
Ni4,69,59.8,23.37,Yellow6,1,180,30.3,2.368,0
Ni4,69,59.8,23.37,Yellow7,1,180,26.8,2.099,0
Ni4,69,59.8,23.37,Yellow8,1,180,27.5,1.863,0
Ni4,69,59.8,23.37,Yellow9,1,180,26.6,1.668,0
Ni4,69,59.8,23.37,Yellow10,1,180,27,1.858,0
Ni4,69,59.8,23.37,Yellow11,1,180,28.5,1.745,0
Ni4,69,59.8,23.37,Yellow12,1,180,29.7,2.133,0
Ni4,69,59.8,23.37,Yellow13,1,180,28.6,1.745,0
Ni4,69,59.8,23.37,Yellow14,1,180,27.2,1.764,0
Ni4,69,59.8,23.37,Yellow15,1,180,28,1.831,0
Ni4,69,59.8,23.37,Yellow16,1,180,28.3,1.944,0
Ni4,69,59.8,23.37,Yellow17,1,180,27.5,1.805,0
Ni4,69,59.8,23.37,Yellow18,1,180,28.9,2.354,0
Ni4,69,59.8,23.37,Yellow19,1,180,30.6,2.395,0
Ni4,69,59.8,23.37,Yellow20,1,180,26.9,1.74,0
Ni4,69,59.8,23.37,Yellow21,1,180,27.4,2.022,0
Ni4,69,59.8,23.37,Yellow22,1,180,26.7,1.67,0
Ni4,69,59.8,23.37,Yellow23,1,180,29.9,2.296,0
Ni4,69,59.8,23.37,Yellow24,1,180,25.8,1.649,0
Ni4,69,59.8,23.37,Yellow25,1,180,27.4,1.756,0
Ni4,69,59.8,23.37,Yellow26,1,180,28.9,2.185,0
Ni4,69,59.8,23.37,Yellow27,1,180,29.8,2.589,0
Ni4,69,59.8,23.37,Yellow28,1,180,27.5,1.944,0
Ni4,69,59.8,23.37,Yellow29,1,180,28.5,2.107,0
Ni4,69,59.8,23.37,Yellow30,1,180,26.5,1.843,0
Ni5,166,147.71,57.74,Red1,1,180,27.9,1.84,0
Ni5,166,147.71,57.74,Red2,1,180,29.1,2.037,0
Ni5,166,147.71,57.74,Red3,1,180,28.1,1.865,0
Ni5,166,147.71,57.74,Red4,1,180,30,2.437,0
Ni5,166,147.71,57.74,Red5,1,180,30.3,2.598,0
Ni5,166,147.71,57.74,Red6,1,180,30.1,2.17,0
Ni5,166,147.71,57.74,Red7,1,180,29.6,2.17,0
Ni5,166,147.71,57.74,Red8,1,180,29.9,2.289,0
Ni5,166,147.71,57.74,Red9,1,180,27.9,1.9,0
Ni5,166,147.71,57.74,Red10,1,180,29.8,1.984,0
Ni5,166,147.71,57.74,Red11,1,180,28.4,2.03,0
Ni5,166,147.71,57.74,Red12,1,180,27.5,1.67,0
Ni5,166,147.71,57.74,Red13,1,180,28.7,1.965,0
Ni5,166,147.71,57.74,Red14,1,180,29.3,2.074,0
